state,FederalFunded,ProjectAmount,%Funded
Alabama,372465362.3299993,452150334.5600001,0.8237644293517014
Alaska,142222883.07000002,188642822.50000003,0.7539268188695597
American Samoa,93231844.19999997,103217410.71,0.9032569559601189
Arizona,27249912.98,34084867.180000044,0.7994724707623158
Arkansas,507945732.27999765,658978406.1700017,0.7708078558024236
California,1507317221.0700035,1926804460.9300025,0.7822886295075698
Colorado,405801538.71000004,532202684.27000004,0.7624943479317863
Connecticut,297964942.1299997,394463704.05000067,0.7553671961976781
Delaware,24384803.44000003,32622361.360000007,0.7474873805395191
District of Columbia,54893427.260000005,69366342.69999994,0.7913553623175242
Federated States of Micronesia,73991.65,98655.53,0.750000025340698
Florida,993674472.4900007,1251903612.789998,0.7937308130899098
Georgia,451719529.6599988,583908917.63,0.7736130002834374
Guam,4918960.969999999,6512966.179999998,0.7552566425271996
Hawaii,32914428.349999998,42850735.269999996,0.7681181697958762
Idaho,34756959.32999998,45997534.130000025,0.7556265784111059
Illinois,264079943.34999916,347828941.8900007,0.7592236054741909
Indiana,200381321.04000056,262601592.7899998,0.7630620930781777
Iowa,1510525632.2700024,1751559013.719995,0.8623892317860982
Kansas,410487237.1599979,545238266.3199966,0.7528584520131346
Kentucky,451776035.6900005,585159471.1199987,0.7720562649790124
Louisiana,1985949193.2800076,2276693412.1199965,0.8722954011760171
Maine,52373982.27000003,70075999.26999994,0.7473883043494712
Maryland,277381787.03999925,369151241.64999944,0.7514041827414226
Massachusetts,584019886.4499986,773427597.8700014,0.755106086281862
Michigan,58806799.68000004,76510949.27999999,0.76860632672051
Minnesota,245025160.93000022,323228527.1600007,0.7580554943057697
Mississippi,259922382.31,338537923.89000005,0.7677792175344458
Missouri,667584301.5799999,901168609.0999968,0.7407984419771577
Montana,70661811.79000004,90192203.09999992,0.7834580968340943
Nebraska,237951981.04000044,318163154.2899994,0.7478929531328191
Nevada,31905354.83000001,41778816.54000001,0.7636730159518301
New Hampshire,93414105.5300001,124298150.37999982,0.7515325468996753
New Jersey,2498037707.909996,2848483785.509999,0.8769710119528527
New Mexico,256773228.59999996,334521036.7999997,0.7675846967840086
New York,15387757284.640009,17396844219.53995,0.8845142883648198
North Carolina,498219511.46000046,652055862.7700002,0.7640748897548637
North Dakota,440503329.91999906,511402516.5199984,0.8613632426323291
Northern Mariana Islands,39318029.849999994,43772038.90999999,0.8982453371852768
Ohio,127308537.50000022,168419696.09000015,0.7559005297810837
Oklahoma,652597401.3499994,854338323.5400017,0.7638629608068186
Oregon,140257620.76000005,184532461.45999992,0.7600701776278149
Pennsylvania,372118484.43999976,491768414.9800013,0.7566945600911207
Puerto Rico,2605635589.63,2667723750.439999,0.9767261655935108
Rhode Island,70699680.5800001,88096485.47999991,0.8025255513291808
South Carolina,570842737.9299996,720897025.5100008,0.79185059409304
South Dakota,232857875.01999924,308664950.8499999,0.7544033567101042
Tennessee,484026475.46000016,580434115.0900005,0.8339042500714287
Texas,4204049692.0300193,4561676898.6600065,0.9216018112253763
Utah,26118562.80999998,34588112.54,0.7551311965865363
Vermont,268707088.20000035,310444587.27000076,0.8655557198241619
Virgin Islands of the U.S.,1035916839.1899997,1078571177.27,0.9604529223671971
Virginia,266606491.95999968,352259985.88000035,0.7568458032324481
Washington,311251048.28000015,409308985.54000103,0.7604305287101549
West Virginia,287078580.7599997,376353607.1099989,0.762789502575682
Wisconsin,125178013.67999972,163864498.35000038,0.7639117376884792
Wyoming,18536163.25,24638662.97,0.7523201755131602
